Parcela;Cota;Ecosistema;Orientacion;Microestacion;Tratamiento;Cobertura_arborea;Fecha_instalación;Fecha_recogida;Dias_campo;Muestra;Superficie_lámina (cm2);Absorb_NH4;ppm N-NH4;µg resina-1 NH4;µg cm-2 NH4;NH4;Absorb_NO3;ppm N-NO3;µg resina-1 NO3;µg cm-2 NO3;NO3;Absorb_PO4;ppm N-PO4;µg resina-1 PO4;µg cm-2 PO4;PO4
Canar;1700;Robledal;Sur;12;Refugio;0.640656215;23/04/2024;24/06/2024;62;1;7.03;0.18;0.740121645;37.00608225;5.264023079;0.084903598;1.777;10.6849368;534.2468399;65.39129007;1.054698227;2.09;6.689736962;334.4868481;40.94086268;0.660336495
Canar;1700;Robledal;Sur;12;Refugio;0.640656215;23/04/2024;24/06/2024;62;2;8.2;0.165;0.644618201;32.23091004;3.930598786;0.063396755;1.368;8.139562398;406.9781199;49.63147804;0.80050771;2.06;6.454252115;322.7126057;39.35519582;0.634761223
Canar;1700;Robledal;Sur;12;Refugio;0.640656215;23/04/2024;24/06/2024;62;3;7.79;0.172;0.688217599;34.41087996;4.417314501;0.071247008;1.506;8.997017232;449.8508616;49.81737117;0.803505987;2.71;12.20127472;610.0637361;67.5596607;1.089671947
Canar;1700;Robledal;Sur;13;Control;0.003621479;23/04/2024;24/06/2024;62;1;8.4;0.4;2.112464613;105.6232306;12.57419412;0.202809583;1.178;6.958226318;347.9113159;40.40781834;0.651739006;2.08;6.57646577;328.8232885;38.19085813;0.615981583
Canar;1700;Robledal;Sur;13;Control;0.003621479;23/04/2024;24/06/2024;62;2;8.4;0.22;0.987184902;49.35924512;5.87610061;0.094775816;1.44;8.588013352;429.4006676;53.67508345;0.865727153;2.41;9.530459237;476.5229618;59.56537023;0.960731778
Canar;1700;Robledal;Sur;13;Control;0.003621479;23/04/2024;24/06/2024;62;3;8.8;0.138;0.478525255;23.92626274;2.718893493;0.043853121;1.546;9.248232814;462.4116407;62.48805955;1.007871928;2.58;11.05962034;552.9810168;74.72716443;1.205276846
Canar;1700;Robledal;Sur;16;Control;0.031152651;23/04/2024;24/06/2024;62;1;8.4;0.145;0.520048491;26.00242456;3.095526734;0.049927851;1.432;8.538185469;426.9092734;50.82253255;0.819718267;2.41;9.584114012;479.2057006;57.04829769;0.920133834
Canar;1700;Robledal;Sur;16;Control;0.031152651;23/04/2024;24/06/2024;62;2;8.4;0.15;0.551190919;27.55954593;3.280898325;0.052917715;1.565;9.3686502;468.43251;53.23096704;0.858563985;2.41;9.581133191;479.0566596;54.43825677;0.8780364
Canar;1700;Robledal;Sur;16;Control;0.031152651;23/04/2024;24/06/2024;62;3;7.8;0.149;0.544962433;27.24812166;3.493348931;0.056344338;1.81;10.89462914;544.7314571;69.8373663;1.126409134;2.61;11.29510518;564.7552591;72.4045204;1.167814845
Canar;1700;Robledal;Sur;9;Control;0.146584964;23/04/2024;24/06/2024;62;1;7.6;0.158;0.601018803;30.05094013;3.954071069;0.06377534;1.468;8.762410946;438.1205473;54.76506841;0.883307555;2.5;10.33826169;516.9130844;64.61413555;1.042163477
Canar;1700;Robledal;Sur;9;Control;0.146584964;23/04/2024;24/06/2024;62;2;7.22;0.151;0.561571728;28.07858639;3.889000885;0.062725821;1.759;10.57645734;528.8228671;67.79780348;1.093512959;2.5;10.32931923;516.4659613;66.21358478;1.067961045
Canar;1700;Robledal;Sur;9;Control;0.146584964;23/04/2024;24/06/2024;62;3;6.4;0.139;0.482677578;24.13387892;3.770918581;0.060821267;1.312;7.790767211;389.5383605;50.00492433;0.806531038;2.6;11.27423944;563.7119718;72.36353939;1.167153861
Canar;1800;Robledal;Sur;49;Control;0.43006552;23/04/2024;24/06/2024;62;1;8;0.154;0.576104861;28.80524303;3.600655379;0.058075087;1.204;7.118090779;355.9045389;44.48806737;0.717549474;2.39;9.378437373;468.9218687;58.61523358;0.945406993
Canar;1800;Robledal;Sur;49;Control;0.43006552;23/04/2024;24/06/2024;62;2;8;0.15;0.555343242;27.76716212;3.470895264;0.055982182;0.961;5.604568807;280.2284403;33.36052861;0.538073042;2.65;11.65578451;582.7892253;69.37966968;1.11902693
Canar;1800;Robledal;Sur;49;Control;0.43006552;23/04/2024;24/06/2024;62;3;8;0.345;1.76782175;88.39108748;11.04888593;0.178207838;1.416;8.438529701;421.926485;49.06121919;0.791309987;2.1;6.814335274;340.7167637;39.61822834;0.639003683
Canar;1800;Robledal;Sur;50;Refugio;0.76124272;23/04/2024;24/06/2024;62;1;8.19;0.159;0.60932345;30.46617249;3.719923381;0.059998764;1.71;10.26814731;513.4073656;65.82145712;1.061636405;1.76;3.695502414;184.7751207;23.68911804;0.382082549
Canar;1800;Robledal;Sur;50;Refugio;0.76124272;23/04/2024;24/06/2024;62;2;8;0.159;0.607247288;30.3623644;3.79529555;0.061214444;0.591;3.300029178;165.0014589;21.18118856;0.341632074;1.79;4.044258454;202.2129227;25.95801318;0.418677632
Canar;1800;Robledal;Sur;50;Refugio;0.76124272;23/04/2024;24/06/2024;62;3;8.4;0.164;0.638389715;31.91948577;3.799938782;0.061289335;0.784;4.504203038;225.2101519;31.19254181;0.503105513;2.59;11.12221757;556.1108787;77.0236674;1.242317216
Canar;1800;Robledal;Sur;51;Control;0.388082823;23/04/2024;24/06/2024;62;1;7.79;0.16;0.617628097;30.88140486;3.964236824;0.063939304;1.681;10.08907835;504.4539177;59.00045821;0.951620294;1.69;3.091886191;154.5943096;18.0812058;0.291632352
